"animalID","season","age","date","birth_date","pupping_exp","withpup","total_resights","count_1_pup","dominant_area","avg_density","n_extreme_both","pupID","Wt","Wt_wean_corrected"
52,1996,10,1996-01-14,1996-01-18,5,"0",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-01-15,1996-01-18,5,"0",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-01-16,1996-01-18,5,"0",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-01-17,1996-01-18,5,"0",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-01-18,1996-01-18,5,"1",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-01-19,1996-01-18,5,"0",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-01-20,1996-01-18,5,"0",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-01-21,1996-01-18,5,"1",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-01-22,1996-01-18,5,"1",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-01-23,1996-01-18,5,"1",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-01-24,1996-01-18,5,"1",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-01-25,1996-01-18,5,"1",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-01-26,1996-01-18,5,"1",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-01-27,1996-01-18,5,"1",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-01-28,1996-01-18,5,"1",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-01-29,1996-01-18,5,"1",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-01-30,1996-01-18,5,"1",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-01-31,1996-01-18,5,"1",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-02-01,1996-01-18,5,"1",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-02-02,1996-01-18,5,"1",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-02-03,1996-01-18,5,"1",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-02-04,1996-01-18,5,"1",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-02-05,1996-01-18,5,"1",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-02-06,1996-01-18,5,"1",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-02-07,1996-01-18,5,"1",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-02-08,1996-01-18,5,"1",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-02-09,1996-01-18,5,"1",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-02-10,1996-01-18,5,"1",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-02-11,1996-01-18,5,"1",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-02-12,1996-01-18,5,"1",27,25,NA,NA,13,14451,108,120.949273100931
52,1996,10,1996-02-13,1996-01-18,5,"1",27,25,NA,NA,13,14451,108,120.949273100931
136,1996,9,1996-01-05,1996-01-09,2,"0",22,22,NA,NA,13,14524,80,96.2343761881587
136,1996,9,1996-01-08,1996-01-09,2,"0",22,22,NA,NA,13,14524,80,96.2343761881587
136,1996,9,1996-01-09,1996-01-09,2,"1",22,22,NA,NA,13,14524,80,96.2343761881587
136,1996,9,1996-01-10,1996-01-09,2,"1",22,22,NA,NA,13,14524,80,96.2343761881587
136,1996,9,1996-01-11,1996-01-09,2,"1",22,22,NA,NA,13,14524,80,96.2343761881587
136,1996,9,1996-01-12,1996-01-09,2,"1",22,22,NA,NA,13,14524,80,96.2343761881587
136,1996,9,1996-01-13,1996-01-09,2,"1",22,22,NA,NA,13,14524,80,96.2343761881587
136,1996,9,1996-01-14,1996-01-09,2,"1",22,22,NA,NA,13,14524,80,96.2343761881587
136,1996,9,1996-01-15,1996-01-09,2,"1",22,22,NA,NA,13,14524,80,96.2343761881587
136,1996,9,1996-01-17,1996-01-09,2,"1",22,22,NA,NA,13,14524,80,96.2343761881587
136,1996,9,1996-01-19,1996-01-09,2,"1",22,22,NA,NA,13,14524,80,96.2343761881587
136,1996,9,1996-01-20,1996-01-09,2,"1",22,22,NA,NA,13,14524,80,96.2343761881587
136,1996,9,1996-01-21,1996-01-09,2,"1",22,22,NA,NA,13,14524,80,96.2343761881587
136,1996,9,1996-01-22,1996-01-09,2,"1",22,22,NA,NA,13,14524,80,96.2343761881587
136,1996,9,1996-01-23,1996-01-09,2,"1",22,22,NA,NA,13,14524,80,96.2343761881587
136,1996,9,1996-01-24,1996-01-09,2,"1",22,22,NA,NA,13,14524,80,96.2343761881587
136,1996,9,1996-01-25,1996-01-09,2,"1",22,22,NA,NA,13,14524,80,96.2343761881587
