"animalID","season","age","birth_date","pupping_exp","total_resights","count_1_pup","MOA_proportion","dominant_area","avg_density","n_extreme_both","pupID","Wt_wean_corrected"
52,1996,10,1996-01-18,5,27,25,0.925925925925926,NA,NA,13,14451,120.949273100931
136,1996,9,1996-01-09,2,22,22,1,NA,NA,13,14524,96.2343761881587
151,1997,10,1997-01-31,3,22,22,1,NA,NA,0,NA,NA
1145,2006,5,2006-01-19,2,16,16,1,NA,NA,37,NA,NA
1349,2011,9,2011-01-18,2,14,14,1,NA,NA,10,NA,NA
1403,2012,10,2012-01-30,4,19,19,1,NA,NA,15,40186,135.816002203604
1464,2011,9,2011-01-14,3,18,18,1,NA,NA,10,NA,NA
1464,2012,10,2012-01-28,4,20,20,1,NA,NA,15,40618,123.206138001004
1479,2006,4,2006-01-16,0,14,13,0.928571428571429,NA,NA,37,NA,NA
1479,2007,5,2007-01-24,1,18,18,1,NA,NA,17,NA,NA
1561,2020,18,2020-02-14,12,18,18,1,"TSB",20.3571428571429,9,52129,123.423765945802
1561,2022,20,2022-02-13,14,15,15,1,"TSB",20.4,6,55478,103.169236375019
1636,2012,9,2012-01-07,4,14,13,0.928571428571429,NA,NA,15,NA,NA
1636,2013,10,2013-01-07,5,14,14,1,NA,NA,19,42069,163.90456947026
1914,2007,4,2007-01-12,0,15,13,0.866666666666667,NA,NA,17,NA,NA
1914,2008,5,2008-02-04,1,14,14,1,NA,NA,30,NA,NA
1920,2010,7,2010-01-19,2,15,15,1,NA,NA,42,NA,NA
2024,2012,9,2012-01-17,1,14,14,1,NA,NA,15,NA,NA
2024,2013,10,2013-01-21,2,16,3,0.1875,NA,NA,19,NA,NA
2078,2017,14,2017-01-17,3,18,18,1,NA,NA,30,48203,140.305322903347
2152,2011,8,2011-01-13,1,19,19,1,NA,NA,10,37652,137.886404599972
2156,2010,7,2010-01-04,3,28,20,0.714285714285714,NA,NA,42,36141,99.8178770719813
2156,2014,11,2014-01-03,5,14,14,1,NA,NA,6,NA,NA
2341,2011,7,2011-01-08,2,14,14,1,NA,NA,10,37655,131.688640233417
2341,2013,9,2013-01-07,3,22,22,1,NA,NA,19,NA,NA
2341,2014,10,2014-01-07,4,22,22,1,NA,NA,6,44031,148.517239844477
2341,2017,13,2017-01-03,6,18,18,1,NA,NA,30,NA,NA
2406,2010,6,2010-01-08,1,22,8,0.363636363636364,NA,NA,42,NA,NA
2406,2013,9,2013-01-13,4,15,15,1,NA,NA,19,42112,160.878958836228
2406,2014,10,2014-01-14,5,14,14,1,NA,NA,6,NA,NA
2456,2011,7,2011-01-19,2,20,20,1,NA,NA,10,NA,NA
3188,2010,5,2010-01-10,1,16,15,0.9375,NA,NA,42,NA,NA
3218,2010,5,2010-01-17,1,15,5,0.333333333333333,NA,NA,42,NA,NA
3218,2011,6,2011-01-17,2,15,14,0.933333333333333,NA,NA,10,37709,116.284508779751
3355,2011,5,2011-01-11,1,14,14,1,NA,NA,10,NA,NA
3674,2012,6,2012-01-25,1,21,21,1,NA,NA,15,40047,130.754349189628
3674,2013,7,2013-01-30,2,18,18,1,NA,NA,19,42725,143.608723641516
3687,2021,15,2020-12-30,5,14,13,0.928571428571429,"APG",42.9950372208437,37,NA,NA
3743,2011,5,2011-01-21,1,17,13,0.764705882352941,NA,NA,10,NA,NA
3743,2012,6,2012-01-30,2,14,14,1,NA,NA,15,40656,120.303638927265
3778,2011,5,2011-01-08,1,18,17,0.944444444444444,NA,NA,10,NA,NA
3778,2012,6,2012-01-13,2,14,14,1,NA,NA,15,39823,137.139734488467
5818,1996,15,1996-01-10,7,28,28,1,NA,NA,13,NA,NA
5818,1997,16,1997-01-14,8,22,22,1,NA,NA,0,NA,NA
6332,1996,14,1996-01-29,9,21,21,1,NA,NA,13,NA,NA
6607,1996,13,1996-02-02,1,29,29,1,NA,NA,13,15028,141
7259,1996,12,1996-01-16,7,32,30,0.9375,NA,NA,13,14440,130.587291946574
7679,1996,12,1996-01-18,8,24,24,1,NA,NA,13,NA,NA
7679,1997,13,1997-01-22,9,21,21,1,NA,NA,0,NA,NA
7838,1996,12,1996-02-02,6,24,24,1,NA,NA,13,NA,NA
8055,1996,12,1996-01-26,8,23,23,1,NA,NA,13,NA,NA
8070,1996,12,1996-01-06,6,26,26,1,NA,NA,13,14607,157.843166439799
8070,1997,13,1997-01-10,7,20,20,1,NA,NA,0,NA,NA
8123,1996,12,1996-01-20,7,15,15,1,NA,NA,13,14647,149.09958679749
8184,1996,12,1996-01-31,6,26,26,1,NA,NA,13,NA,NA
8308,1996,12,1996-01-29,6,25,25,1,NA,NA,13,14985,139.922457642551
8308,1997,13,1997-01-29,7,21,21,1,NA,NA,0,NA,NA
8342,1996,12,1996-01-14,7,18,18,1,NA,NA,13,NA,NA
8482,1996,15,1996-01-28,7,27,27,1,NA,NA,13,NA,NA
8680,1996,11,1996-01-06,6,24,24,1,NA,NA,13,14605,159.362650416398
8680,1997,12,1997-01-09,7,17,17,1,NA,NA,0,NA,NA
8749,1996,11,1996-01-28,7,26,26,1,NA,NA,13,15013,138.564012693011
8749,1997,12,1997-02-01,8,23,23,1,NA,NA,0,NA,NA
8909,1996,10,1996-01-28,4,17,16,0.941176470588235,NA,NA,13,NA,NA
8934,1996,10,1996-01-18,5,26,26,1,NA,NA,13,14641,127.829199505241
9151,1996,11,1996-01-12,2,26,26,1,NA,NA,13,14577,72.7935439959307
9172,1996,11,1996-01-22,6,20,20,1,NA,NA,13,NA,NA
9176,2004,19,2004-01-25,9,17,17,1,NA,NA,16,2374,154.598181814661
9275,1996,10,1996-01-17,3,22,22,1,NA,NA,13,14659,132.006576429647
9311,1996,10,1996-01-27,6,27,27,1,NA,NA,13,15033,132.78906909014
9463,1996,10,1996-01-20,5,20,19,0.95,NA,NA,13,NA,NA
9615,1996,10,1996-01-23,5,24,24,1,NA,NA,13,14734,153.601967558919
9623,1996,10,1996-01-18,4,16,16,1,NA,NA,13,NA,NA
9963,1996,5,1996-01-23,0,24,24,1,NA,NA,13,NA,NA
9999,1996,5,1996-01-15,1,27,26,0.962962962962963,NA,NA,13,14566,116.007080394149
9999,1997,6,1997-01-21,2,20,20,1,NA,NA,0,NA,NA
10031,1996,5,1995-12-30,0,16,16,1,NA,NA,13,NA,NA
10103,1996,4,1996-01-18,0,20,18,0.9,NA,NA,13,NA,NA
10110,1996,4,1996-01-01,0,32,28,0.875,NA,NA,13,NA,NA
10110,1997,5,1997-01-19,1,21,21,1,NA,NA,0,NA,NA
10135,1996,4,1996-01-12,1,14,11,0.785714285714286,NA,NA,13,NA,NA
10193,1996,9,1996-01-25,2,20,10,0.5,NA,NA,13,NA,NA
10210,1996,9,1996-01-22,5,21,21,1,NA,NA,13,NA,NA
10215,1996,9,1995-12-31,4,20,20,1,NA,NA,13,NA,NA
10286,1996,9,1996-01-19,1,18,18,1,NA,NA,13,NA,NA
10293,1996,9,1996-02-02,5,21,21,1,NA,NA,13,NA,NA
10295,1996,9,1996-01-19,3,21,21,1,NA,NA,13,NA,NA
10322,1996,9,1996-01-25,1,29,29,1,NA,NA,13,NA,NA
10488,1997,9,1997-02-04,4,22,22,1,NA,NA,0,NA,NA
10503,1996,8,1996-01-16,0,24,24,1,NA,NA,13,14466,114.405699572361
10523,1996,8,1996-01-16,3,26,25,0.961538461538462,NA,NA,13,NA,NA
10551,1996,8,1996-01-14,1,25,25,1,NA,NA,13,14438,153.724161428629
10551,1997,9,1997-01-14,2,21,21,1,NA,NA,0,NA,NA
10562,1996,8,1996-02-02,0,24,24,1,NA,NA,13,NA,NA
10564,1996,8,1996-01-08,4,26,26,1,NA,NA,13,14477,140.232864035423
10599,1996,8,1996-01-26,4,22,22,1,NA,NA,13,NA,NA
10616,1996,8,1996-01-18,4,23,23,1,NA,NA,13,14547,145.587087991861
10616,1997,9,1997-01-10,5,18,18,1,NA,NA,0,NA,NA
10656,1996,8,1996-01-22,2,26,26,1,NA,NA,13,14819,123.567531293308
10656,1997,9,1997-01-25,3,22,22,1,NA,NA,0,15322,146.307288876192
10677,1996,8,1996-01-31,3,26,25,0.961538461538462,NA,NA,13,15027,125.690312565842
10677,2001,13,2001-01-30,7,17,17,1,NA,NA,25,17052,123.972293977221
10687,1996,8,1996-01-12,3,21,21,1,NA,NA,13,14531,133.838010406604
10688,1996,8,1996-02-04,3,28,27,0.964285714285714,NA,NA,13,15015,141.507671778672
10688,1997,9,1997-02-07,4,23,23,1,NA,NA,0,NA,NA
10688,2001,13,2001-02-11,5,15,15,1,NA,NA,25,1094,157.263452110363
10699,1996,8,1996-01-08,3,25,25,1,NA,NA,13,14518,133.927535161041
10704,1996,8,1996-01-28,1,25,25,1,NA,NA,13,14773,127.957866880042
10730,1996,8,1996-01-17,3,24,24,1,NA,NA,13,NA,NA
10839,1996,8,1996-01-23,2,24,24,1,NA,NA,13,14764,133.268180546396
10839,1997,9,1997-01-27,3,23,23,1,NA,NA,0,NA,NA
10844,1996,8,1996-01-05,2,20,19,0.95,NA,NA,13,NA,NA
10847,1996,8,1996-01-23,5,26,26,1,NA,NA,13,NA,NA
10898,1996,7,1996-01-14,2,23,23,1,NA,NA,13,NA,NA
10899,1996,7,1996-01-15,3,26,23,0.884615384615385,NA,NA,13,NA,NA
10899,1997,8,1997-01-18,4,22,22,1,NA,NA,0,NA,NA
10918,1996,7,1996-01-24,2,22,22,1,NA,NA,13,14551,117.006423437026
10947,1996,7,1996-01-11,2,21,21,1,NA,NA,13,NA,NA
10953,1996,7,1996-01-20,1,26,26,1,NA,NA,13,NA,NA
10953,1997,8,1997-01-30,2,20,20,1,NA,NA,0,NA,NA
10953,2001,12,2001-01-17,4,15,15,1,NA,NA,25,17011,138.914624594441
10971,1996,7,1996-01-28,2,14,14,1,NA,NA,13,NA,NA
11023,2002,13,2002-01-30,2,14,14,1,NA,NA,11,1375,144.573658954178
11048,1996,7,1996-01-25,3,25,24,0.96,NA,NA,13,NA,NA
11048,2004,15,2004-01-23,6,16,16,1,NA,NA,16,NA,NA
11070,1996,7,1996-02-01,2,31,31,1,NA,NA,13,NA,NA
11084,1996,7,1996-01-25,1,24,24,1,NA,NA,13,14740,106.115591756408
11100,2001,12,2001-02-02,2,17,17,1,NA,NA,25,17047,139.914585588505
11216,1996,6,1996-01-15,2,26,26,1,NA,NA,13,14441,102.884367144363
11313,1996,6,1996-01-22,0,18,18,1,NA,NA,13,NA,NA
11337,1996,6,1996-01-30,1,34,17,0.5,NA,NA,13,NA,NA
11364,1996,6,1996-01-25,2,18,18,1,NA,NA,13,NA,NA
11393,1996,6,1996-01-25,2,25,25,1,NA,NA,13,14798,128.781057956805
11405,1996,6,1996-02-02,2,26,26,1,NA,NA,13,15024,112.297082538334
11424,1996,6,1996-01-16,1,32,28,0.875,NA,NA,13,14711,130.906521626067
11424,1997,7,1997-01-24,2,23,23,1,NA,NA,0,NA,NA
11424,2004,14,2004-01-27,5,19,15,0.789473684210526,NA,NA,16,2445,136.011634257611
11519,1996,6,1996-01-12,0,26,26,1,NA,NA,13,NA,NA
11617,1997,6,1997-02-02,3,21,21,1,NA,NA,0,NA,NA
11619,1996,5,1996-01-19,2,17,17,1,NA,NA,13,14623,132.252131935846
11621,1996,5,1996-01-21,0,24,24,1,NA,NA,13,14675,113.551083809571
11621,1997,6,1997-01-21,1,20,20,1,NA,NA,0,15187,134.732920262339
11782,1996,5,1996-01-19,1,18,18,1,NA,NA,13,NA,NA
11802,1997,6,1997-02-01,2,21,21,1,NA,NA,0,NA,NA
11802,2001,10,2001-02-04,4,27,27,1,NA,NA,25,14854,147.791649456996
11805,1996,5,1995-12-31,1,15,15,1,NA,NA,13,14603,105.280489666586
11809,1996,5,1996-01-28,1,21,20,0.952380952380952,NA,NA,13,NA,NA
11896,1996,5,1996-01-23,1,24,24,1,NA,NA,13,NA,NA
12003,1996,4,1996-01-24,0,21,21,1,NA,NA,13,NA,NA
12069,1996,4,1996-01-13,0,17,17,1,NA,NA,13,NA,NA
12075,1996,4,1996-01-13,0,28,27,0.964285714285714,NA,NA,13,NA,NA
12091,1996,4,1996-01-14,0,23,19,0.826086956521739,NA,NA,13,14563,104.993611612078
12091,2005,13,2005-01-23,7,15,15,1,NA,NA,12,17146,147.683321827977
12105,1996,4,1996-01-24,0,24,24,1,NA,NA,13,14769,91.8270848687675
12753,2002,8,2002-01-17,1,26,26,1,NA,NA,11,1328,112.331037221688
12935,2002,8,2002-01-16,3,22,22,1,NA,NA,11,NA,NA
13134,2006,12,2006-01-09,5,14,14,1,NA,NA,37,NA,NA
13222,1996,12,1996-01-18,6,28,28,1,NA,NA,13,NA,NA
13222,2001,17,2001-01-15,8,14,14,1,NA,NA,25,NA,NA
13621,2006,11,2006-01-15,5,18,17,0.944444444444444,NA,NA,37,NA,NA
13641,2000,5,2000-01-17,0,15,15,1,NA,NA,20,NA,NA
13709,2005,10,2005-02-03,4,21,21,1,NA,NA,12,17134,103.640707894107
13808,2001,6,2001-01-17,0,14,14,1,NA,NA,25,16942,112.686475483425
13808,2004,9,2004-01-13,3,14,14,1,NA,NA,16,NA,NA
13851,2000,5,2000-01-27,0,14,12,0.857142857142857,NA,NA,20,NA,NA
13891,2003,8,2003-01-08,3,21,21,1,NA,NA,19,NA,NA
13891,2004,9,2004-01-07,4,16,16,1,NA,NA,16,NA,NA
13938,2006,11,2006-01-15,6,16,16,1,NA,NA,37,3420,140.113791057004
13938,2013,18,2013-01-16,11,17,17,1,NA,NA,19,42260,122.457051167184
13970,2001,6,2001-01-09,1,16,16,1,NA,NA,25,16954,122.46315215341
13976,2005,10,2005-01-15,3,16,16,1,NA,NA,12,2866,139.327924765034
13987,2003,8,2003-01-14,4,20,20,1,NA,NA,19,NA,NA
13987,2007,12,2007-01-11,6,16,16,1,NA,NA,17,20432,140.113350686495
14092,2007,12,2007-01-21,2,15,14,0.933333333333333,NA,NA,17,20435,126.74847672694
14123,2001,6,2001-01-21,0,16,16,1,NA,NA,25,NA,NA
14123,2005,10,2005-01-23,4,16,16,1,NA,NA,12,17093,122.599567174879
14123,2011,16,2011-01-26,8,20,14,0.7,NA,NA,10,NA,NA
14213,2002,7,2002-01-26,1,25,25,1,NA,NA,11,16346,138.808384103951
14339,2000,5,2000-01-06,0,15,15,1,NA,NA,20,NA,NA
14460,2000,4,2000-01-11,0,16,16,1,NA,NA,20,NA,NA
14460,2002,6,2002-01-11,2,23,23,1,NA,NA,11,1273,131.36791615597
14460,2009,13,2009-01-12,7,15,9,0.6,NA,NA,12,NA,NA
14460,2010,14,2010-01-08,8,19,19,1,NA,NA,42,NA,NA
14629,2003,7,2003-02-02,0,19,19,1,NA,NA,19,1703,137.206490207346
14759,2009,13,2009-01-17,9,16,14,0.875,NA,NA,12,NA,NA
14759,2011,15,2011-01-22,11,15,14,0.933333333333333,NA,NA,10,NA,NA
14759,2012,16,2012-01-18,12,20,19,0.95,NA,NA,15,40286,153.871420708559
14759,2013,17,2013-01-22,13,14,12,0.857142857142857,NA,NA,19,42607,166.108275340639
14759,2015,19,2015-01-25,15,15,15,1,NA,NA,1,NA,NA
14847,2004,8,2004-01-09,1,17,16,0.941176470588235,NA,NA,16,2315,161.672108269608
14881,2010,8,2010-01-16,3,22,22,1,NA,NA,42,NA,NA
14883,2007,5,2007-01-18,0,17,17,1,NA,NA,17,20404,108.701999213667
14906,2004,8,2004-01-22,2,14,14,1,NA,NA,16,NA,NA
15007,2004,8,2003-12-31,1,17,16,0.941176470588235,NA,NA,16,2303,147.41434975502
15035,2003,7,2003-01-26,3,15,15,1,NA,NA,19,1846,129.359175869335
15316,2005,9,2005-01-30,3,21,20,0.952380952380952,NA,NA,12,17499,120.717335536491
15693,2003,5,2003-01-07,1,15,7,0.466666666666667,NA,NA,19,NA,NA
15701,2011,13,2011-01-15,8,18,18,1,NA,NA,10,37706,147.99294807184
15706,2005,7,2005-01-28,2,17,17,1,NA,NA,12,17535,118.09273328292
15706,2011,13,2011-01-23,8,16,16,1,NA,NA,10,37790,109.889959087348
15727,2002,4,2002-01-06,0,19,16,0.842105263157895,NA,NA,11,1252,112.92421066377
15787,2011,13,2011-01-07,6,18,18,1,NA,NA,10,37717,145.14455855067
15793,2005,7,2005-02-07,2,15,15,1,NA,NA,12,17128,108.283071916402
15793,2011,13,2011-01-17,5,24,23,0.958333333333333,NA,NA,10,37712,136.964519009221
15805,2010,12,2010-01-12,1,21,21,1,NA,NA,42,35876,120.773937957725
15814,2010,12,2010-01-06,6,18,18,1,NA,NA,42,NA,NA
15814,2011,13,2011-01-11,7,15,14,0.933333333333333,NA,NA,10,37651,101.387400365856
15814,2013,15,2013-01-20,9,14,14,1,NA,NA,19,42259,151.807562894094
15836,2003,5,2003-01-17,0,20,9,0.45,NA,NA,19,NA,NA
15850,2002,4,2002-01-09,0,23,23,1,NA,NA,11,1248,111.207685446222
15873,2003,5,2003-02-04,1,17,17,1,NA,NA,19,2164,115.455748594035
15891,2010,12,2010-01-15,4,15,15,1,NA,NA,42,NA,NA
15911,2002,4,2002-01-10,0,28,28,1,NA,NA,11,1293,78.2988832377377
15911,2005,7,2005-01-17,2,18,18,1,NA,NA,12,17314,121.655876097491
15911,2006,8,2006-01-21,3,16,16,1,NA,NA,37,17772,106.781915007236
16089,2004,5,2004-01-19,2,14,14,1,NA,NA,16,2344,123.124018676362
16157,2003,4,2003-01-20,0,20,20,1,NA,NA,19,NA,NA
16157,2005,6,2005-01-21,2,18,18,1,NA,NA,12,17416,164.477369668469
16157,2011,12,2011-01-17,7,18,18,1,NA,NA,10,NA,NA
16157,2012,13,2012-01-21,8,21,21,1,NA,NA,15,40520,158.814365449445
16157,2013,14,2013-01-20,9,17,17,1,NA,NA,19,NA,NA
