"animalID","season","date","area","observer","withpup","age","birth_date","precision"
16190,2004,2003-12-26,"APG","P. Morris, R. Condit","0",5,NA,NA
16190,2004,2003-12-27,"APG","P. Morris, R. Condit","0",5,NA,NA
16190,2004,2003-12-28,"APG","P. Morris, R. Condit","0",5,NA,NA
16190,2004,2003-12-30,"APG","P. Morris, R. Condit","0",5,NA,NA
16190,2004,2003-12-31,"APG","P. Morris, R. Condit","0",5,NA,NA
16190,2004,2004-01-02,"AP","P. Morris, R. Condit","0",5,NA,NA
16190,2004,2004-01-05,"AP","P. Morris, R. Condit","0",5,NA,NA
16190,2004,2004-01-06,"AP","P. Morris, R. Condit","0",5,NA,NA
16190,2004,2004-01-07,"AP","P. Morris, R. Condit","0",5,NA,NA
16190,2004,2004-01-08,"AP","P. Morris, R. Condit","0",5,NA,NA
16190,2004,2004-01-09,"APG","P. Morris, R. Condit","0",5,NA,NA
19861,2004,2003-12-26,"SBE","P. Morris, R. Condit","0",5,2003-12-31,1
19861,2004,2003-12-27,"APG","P. Morris, R. Condit","0",5,2003-12-31,1
19861,2004,2003-12-28,"APG","P. Morris, R. Condit","0",5,2003-12-31,1
19861,2004,2003-12-30,"APG","P. Morris, R. Condit","0",5,2003-12-31,1
19861,2004,2003-12-31,"APG","P. Morris, R. Condit","1",5,2003-12-31,1
19861,2004,2004-01-02,"APG","P. Morris, R. Condit","1",5,2003-12-31,1
19861,2004,2004-01-04,"APG","P. Morris, R. Condit","2",5,2003-12-31,1
19861,2004,2004-01-06,"APG","P. Morris, R. Condit","1",5,2003-12-31,1
19861,2004,2004-01-07,"APG","P. Morris, R. Condit","1",5,2003-12-31,1
19861,2004,2004-01-08,"APG","P. Morris, R. Condit","0",5,2003-12-31,1
19861,2004,2004-01-10,"APG","P. Morris, R. Condit","1",5,2003-12-31,1
19861,2004,2004-01-11,"APG","P. Morris, R. Condit","1",5,2003-12-31,1
19861,2004,2004-01-13,"APG","P. Morris, R. Condit","1",5,2003-12-31,1
19861,2004,2004-01-16,"APG","P. Morris, R. Condit","1",5,2003-12-31,1
19861,2004,2004-01-17,"APG","P. Morris, R. Condit","1",5,2003-12-31,1
19861,2004,2004-01-18,"APG","P. Morris, R. Condit","1",5,2003-12-31,1
19861,2004,2004-01-19,"APG","P. Morris, R. Condit","1",5,2003-12-31,1
19861,2004,2004-01-20,"APG","P. Morris, R. Condit","2",5,2003-12-31,1
15676,2004,2003-12-26,"SBE","P. Morris, R. Condit","0",6,2003-12-30,2
15676,2004,2003-12-27,"APG","P. Morris, R. Condit","0",6,2003-12-30,2
15676,2004,2003-12-28,"APG","P. Morris, R. Condit","0",6,2003-12-30,2
15676,2004,2003-12-28,"APG","P. Morris, R. Condit","0",6,2003-12-30,2
15676,2004,2003-12-30,"APG","P. Morris, R. Condit","1",6,2003-12-30,2
15676,2004,2003-12-31,"APG","P. Morris, R. Condit","1",6,2003-12-30,2
15676,2004,2004-01-04,"APG","P. Morris, R. Condit","1",6,2003-12-30,2
15676,2004,2004-01-05,"APG","P. Morris, R. Condit","1",6,2003-12-30,2
15676,2004,2004-01-06,"APG","P. Morris, R. Condit","1",6,2003-12-30,2
15676,2004,2004-01-08,"APG","P. Morris, R. Condit","1",6,2003-12-30,2
15676,2004,2004-01-11,"BBS","P. Morris, R. Condit","1",6,2003-12-30,2
15676,2004,2004-01-16,"BBS","P. Morris, R. Condit","1",6,2003-12-30,2
15676,2004,2004-01-19,"BBS","P. Morris, R. Condit","1",6,2003-12-30,2
15921,2004,2003-12-26,"APG","P. Morris, R. Condit","0",6,NA,NA
15921,2004,2003-12-28,"APG","P. Morris, R. Condit","0",6,NA,NA
15391,2004,2003-12-26,"APG","P. Morris, R. Condit","0",7,2004-01-05,5
15391,2004,2003-12-27,"APG","P. Morris, R. Condit","0",7,2004-01-05,5
15391,2004,2003-12-28,"APG","P. Morris, R. Condit","0",7,2004-01-05,5
15391,2004,2003-12-30,"APG","P. Morris, R. Condit","0",7,2004-01-05,5
15391,2004,2003-12-31,"APG","P. Morris, R. Condit","0",7,2004-01-05,5
15391,2004,2004-01-05,"APG","P. Morris, R. Condit","1",7,2004-01-05,5
15007,2004,2003-12-27,"MBB","P. Morris, R. Condit","0",8,2003-12-31,1
15007,2004,2003-12-28,"MBB","P. Morris, R. Condit","0",8,2003-12-31,1
15007,2004,2003-12-30,"MBB","P. Morris, R. Condit","0",8,2003-12-31,1
15007,2004,2003-12-31,"MBB","P. Morris, R. Condit","1",8,2003-12-31,1
15007,2004,2003-12-31,"MBB","P. Morris, R. Condit","1",8,2003-12-31,1
15007,2004,2004-01-02,"MBB","P. Morris, R. Condit","1",8,2003-12-31,1
15007,2004,2004-01-04,"MBB","P. Morris, R. Condit","1",8,2003-12-31,1
15007,2004,2004-01-05,"MBB","P. Morris, R. Condit","1",8,2003-12-31,1
