"Date","time_GMT","tide_height","season","tide_datetime"
1995-12-25,00:00:00,1.1,1996,"1995-12-25 00:00:00"
1995-12-25,01:00:00,-0.22,1996,"1995-12-25 01:00:00"
1995-12-25,02:00:00,-1.22,1996,"1995-12-25 02:00:00"
1995-12-25,03:00:00,-1.05,1996,"1995-12-25 03:00:00"
1995-12-25,04:00:00,-0.34,1996,"1995-12-25 04:00:00"
1995-12-25,05:00:00,0.77,1996,"1995-12-25 05:00:00"
1995-12-25,06:00:00,1.89,1996,"1995-12-25 06:00:00"
1995-12-25,07:00:00,3.56,1996,"1995-12-25 07:00:00"
1995-12-25,08:00:00,4.37,1996,"1995-12-25 08:00:00"
1995-12-25,09:00:00,4.75,1996,"1995-12-25 09:00:00"
1995-12-25,10:00:00,4.69,1996,"1995-12-25 10:00:00"
1995-12-25,11:00:00,4.08,1996,"1995-12-25 11:00:00"
1995-12-25,12:00:00,3.49,1996,"1995-12-25 12:00:00"
1995-12-25,13:00:00,2.78,1996,"1995-12-25 13:00:00"
1995-12-25,14:00:00,2.55,1996,"1995-12-25 14:00:00"
1995-12-25,15:00:00,2.41,1996,"1995-12-25 15:00:00"
1995-12-25,16:00:00,2.98,1996,"1995-12-25 16:00:00"
1995-12-25,17:00:00,3.51,1996,"1995-12-25 17:00:00"
1995-12-25,18:00:00,4.32,1996,"1995-12-25 18:00:00"
1995-12-25,19:00:00,5.09,1996,"1995-12-25 19:00:00"
1995-12-25,20:00:00,5.74,1996,"1995-12-25 20:00:00"
1995-12-25,21:00:00,5.59,1996,"1995-12-25 21:00:00"
1995-12-25,22:00:00,4.78,1996,"1995-12-25 22:00:00"
1995-12-25,23:00:00,3.67,1996,"1995-12-25 23:00:00"
1995-12-26,00:00:00,2.4,1996,"1995-12-26 00:00:00"
1995-12-26,01:00:00,0.92,1996,"1995-12-26 01:00:00"
1995-12-26,02:00:00,-0.12,1996,"1995-12-26 02:00:00"
1995-12-26,03:00:00,-0.59,1996,"1995-12-26 03:00:00"
1995-12-26,04:00:00,-0.51,1996,"1995-12-26 04:00:00"
1995-12-26,05:00:00,0.23,1996,"1995-12-26 05:00:00"
1995-12-26,06:00:00,1.21,1996,"1995-12-26 06:00:00"
1995-12-26,07:00:00,2.7,1996,"1995-12-26 07:00:00"
1995-12-26,08:00:00,3.84,1996,"1995-12-26 08:00:00"
1995-12-26,09:00:00,4.62,1996,"1995-12-26 09:00:00"
1995-12-26,10:00:00,4.87,1996,"1995-12-26 10:00:00"
1995-12-26,11:00:00,4.79,1996,"1995-12-26 11:00:00"
1995-12-26,12:00:00,4.29,1996,"1995-12-26 12:00:00"
1995-12-26,13:00:00,3.55,1996,"1995-12-26 13:00:00"
1995-12-26,14:00:00,2.74,1996,"1995-12-26 14:00:00"
1995-12-26,15:00:00,2.32,1996,"1995-12-26 15:00:00"
1995-12-26,16:00:00,2.28,1996,"1995-12-26 16:00:00"
1995-12-26,17:00:00,2.7,1996,"1995-12-26 17:00:00"
1995-12-26,18:00:00,3.31,1996,"1995-12-26 18:00:00"
1995-12-26,19:00:00,4,1996,"1995-12-26 19:00:00"
1995-12-26,20:00:00,4.53,1996,"1995-12-26 20:00:00"
1995-12-26,21:00:00,4.85,1996,"1995-12-26 21:00:00"
1995-12-26,22:00:00,4.81,1996,"1995-12-26 22:00:00"
1995-12-26,23:00:00,4.25,1996,"1995-12-26 23:00:00"
1995-12-27,00:00:00,3.28,1996,"1995-12-27 00:00:00"
1995-12-27,01:00:00,2.13,1996,"1995-12-27 01:00:00"
1995-12-27,02:00:00,1.06,1996,"1995-12-27 02:00:00"
1995-12-27,03:00:00,0.27,1996,"1995-12-27 03:00:00"
1995-12-27,04:00:00,-0.07,1996,"1995-12-27 04:00:00"
1995-12-27,05:00:00,0.15,1996,"1995-12-27 05:00:00"
1995-12-27,06:00:00,0.9,1996,"1995-12-27 06:00:00"
1995-12-27,07:00:00,1.98,1996,"1995-12-27 07:00:00"
1995-12-27,08:00:00,3.13,1996,"1995-12-27 08:00:00"
1995-12-27,09:00:00,4.15,1996,"1995-12-27 09:00:00"
1995-12-27,10:00:00,4.81,1996,"1995-12-27 10:00:00"
1995-12-27,11:00:00,4.94,1996,"1995-12-27 11:00:00"
1995-12-27,12:00:00,4.73,1996,"1995-12-27 12:00:00"
1995-12-27,13:00:00,4.14,1996,"1995-12-27 13:00:00"
1995-12-27,14:00:00,3.5,1996,"1995-12-27 14:00:00"
1995-12-27,15:00:00,2.92,1996,"1995-12-27 15:00:00"
1995-12-27,16:00:00,2.29,1996,"1995-12-27 16:00:00"
1995-12-27,17:00:00,2.19,1996,"1995-12-27 17:00:00"
1995-12-27,18:00:00,2.2,1996,"1995-12-27 18:00:00"
1995-12-27,19:00:00,2.81,1996,"1995-12-27 19:00:00"
1995-12-27,20:00:00,3.27,1996,"1995-12-27 20:00:00"
1995-12-27,21:00:00,3.81,1996,"1995-12-27 21:00:00"
1995-12-27,22:00:00,4.09,1996,"1995-12-27 22:00:00"
1995-12-27,23:00:00,4.09,1996,"1995-12-27 23:00:00"
1995-12-28,00:00:00,3.75,1996,"1995-12-28 00:00:00"
1995-12-28,01:00:00,2.97,1996,"1995-12-28 01:00:00"
1995-12-28,02:00:00,2.04,1996,"1995-12-28 02:00:00"
1995-12-28,03:00:00,1.2,1996,"1995-12-28 03:00:00"
1995-12-28,04:00:00,0.62,1996,"1995-12-28 04:00:00"
1995-12-28,05:00:00,0.34,1996,"1995-12-28 05:00:00"
1995-12-28,06:00:00,0.71,1996,"1995-12-28 06:00:00"
1995-12-28,07:00:00,1.38,1996,"1995-12-28 07:00:00"
1995-12-28,08:00:00,2.28,1996,"1995-12-28 08:00:00"
