"season","pupID","animalID","Wt","weighingdate","weandate"
1987,10282,6332,120,1987-02-28,1987-03-01
1987,10284,8482,152,1987-02-26,1987-02-23
1987,10303,6605,115,1987-03-03,1987-02-25
1987,10314,8342,49,1987-03-01,1987-02-19
1988,10486,9176,143,1988-02-08,1988-02-06
1988,10502,5818,137,1988-02-06,1988-02-05
1988,10529,8070,98,1988-02-12,1988-02-11
1988,10552,13222,121,1988-03-03,1988-02-18
1988,10557,8123,111,1988-02-19,1988-02-15
1988,10589,18080,119,1988-02-23,1988-02-16
1988,10615,8749,90,1988-02-23,1988-02-17
1988,10617,7838,102,1988-02-23,1988-02-19
1988,10634,8482,165,1988-02-23,1988-02-20
1988,10638,6332,133,1988-03-03,1988-02-22
1988,10644,8308,121,1988-03-03,1988-02-24
1988,10656,7259,111,1988-02-16,1988-02-16
1988,10664,6605,137,1988-02-27,1988-02-26
NA,9678,7679,144,NA,1989-02-15
1989,10841,8680,90,1989-03-04,1989-01-24
1989,10910,8055,124,1989-02-19,1989-02-05
1989,10933,5818,147,1989-02-24,1989-02-07
1989,10946,8749,112,1989-02-26,1989-02-16
1989,10957,20258,139,1989-02-19,1989-02-15
1989,10962,9151,104,1989-02-22,1989-02-15
1989,10965,8482,182,1989-02-17,1989-02-16
1989,10967,7259,126,1989-02-17,1989-02-15
1989,10971,8342,153,1989-02-27,1989-02-11
1989,10980,18080,120,1989-03-02,1989-02-14
1989,11004,17931,124,1989-03-05,1989-02-20
1989,11017,6605,138,1989-02-28,1989-02-20
1989,11023,8123,128,1989-02-27,1989-02-18
1989,11032,7838,136,1989-02-25,1989-02-21
1989,11090,8184,109,1989-03-04,1989-03-03
1989,11091,6332,103,1989-03-05,1989-03-01
1990,11257,9311,86.184,1990-02-27,1990-01-30
1990,11276,13222,143.791,1990-02-27,1990-02-01
1990,11325,20287,85,1990-03-03,1990-02-10
1990,11337,8342,124.74,1990-03-04,1990-02-11
1990,11344,9623,172.368,1990-03-04,1990-02-04
1990,11364,8070,139.255,1990-02-24,1990-02-01
1990,11385,8308,116.122,1990-02-25,1990-02-16
1990,11390,17931,136.08,1990-02-25,1990-02-19
1990,11403,8749,123.833,1990-02-24,1990-02-16
1990,11409,7838,139.255,1990-02-24,1990-02-18
1990,11418,8482,154,1990-02-28,1990-02-22
1990,11460,9463,97.0704,1990-03-01,1990-02-28
1990,11483,6332,146.059,1990-03-04,1990-03-04
1991,11607,10847,152,1991-02-03,1991-02-07
1991,11628,10215,130,1991-02-21,1991-01-25
1991,11642,8070,132,1991-02-07,1991-02-05
1991,11662,9311,138,1991-02-09,1991-02-06
1991,11693,8749,136,1991-02-24,1991-02-22
1991,11695,8184,133,1991-02-15,1991-02-18
1991,11700,18080,59,1991-02-11,1991-02-01
1991,11714,9176,104,1991-02-17,1991-01-21
1991,11716,13222,135,1991-02-26,1991-02-11
1991,11762,17931,139,1991-02-17,1991-02-16
1991,11775,20274,132,1991-02-26,1991-02-21
1991,11791,7838,145,1991-02-19,1991-02-19
1991,11825,151,129,1991-02-22,1991-02-20
1992,11972,10656,110,1992-02-03,1992-01-29
1992,11982,18080,129,1992-02-17,1992-02-07
1992,11985,10293,113,1992-02-19,1992-02-13
1992,12000,8055,140,1992-02-09,NA
1992,12004,9623,123,1992-02-21,1992-02-06
1992,12011,9275,127,1992-02-26,1992-02-08
1992,12014,9311,150,1992-02-12,1992-02-12
1992,12022,10215,127,1992-01-27,1992-01-27
1992,12036,20277,135,1992-02-19,1992-02-17
1992,12051,5818,151,1992-02-12,1992-02-01
1992,12061,10616,117,1992-02-23,1992-02-16
1992,12064,7259,129,1992-02-20,1992-02-14
1992,12065,10947,78,1992-02-21,1992-02-14
1992,12074,10688,62,1992-02-22,1992-02-19
1992,12082,20294,117,1992-02-27,1992-02-16
