YY,MM,DD,hh,WD,WSPD GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS
1999,1,1,0,999,99.0 99.0,99,99,99,999,9999,999,999,999,99
1999,1,1,1,325,10.2 12.2,2.26,14.29,6.11,286,1019.6,11,11,999,99
1999,1,1,2,327,10.1 12.0,2.48,14.29,6.43,289,1019.7,10.9,11,999,99
1999,1,1,3,329,10.3 12.2,2.52,14.29,6.39,292,1019.7,10.6,11,999,99
1999,1,1,4,329,8.9 10.8,2.58,12.5,6.53,295,1020,10.6,10.9,999,99
1999,1,1,5,329,9.7 11.5,2.43,14.29,6.33,293,1020.3,10.6,10.9,999,99
1999,1,1,6,329,8.7 10.5,2.5,14.29,6.54,290,1020.4,10.6,10.9,999,99
1999,1,1,7,325,8.2 10.1,2.67,8.33,6.89,312,1020.5,10.6,10.9,999,99
1999,1,1,8,321,7.5  8.9,2.67,8.33,6.85,307,1020.5,10.6,10.9,999,99
1999,1,1,9,343,7.5  9.1,2.75,14.29,7.29,288,1020.5,10.6,10.9,999,99
1999,1,1,10,341,6.0  7.1,2.39,8.33,6.81,307,1021,10.6,10.9,999,99
1999,1,1,11,4,2.9  3.6,2.39,12.5,7.01,282,1021.7,10.3,10.9,999,99
1999,1,1,12,66,1.5  2.6,2.45,8.33,7.1,297,1022,10.5,10.9,999,99
1999,1,1,13,329,1.4  2.5,2.43,8.33,7.44,296,1021.9,10.3,11,999,99
1999,1,1,14,335,2.0  3.4,2.34,12.5,7.4,295,1021.8,10.5,11,999,99
1999,1,1,15,341,4.1  4.7,2.32,12.5,7.2,294,1021.9,10.3,11,999,99
1999,1,1,16,346,4.7  5.9,2.13,11.11,7.01,290,1022,9.8,11,999,99
1999,1,1,17,337,5.6  6.4,2.34,12.5,7.4,286,1022.5,10.2,11,999,99
1999,1,1,18,345,5.1  5.9,2.48,12.5,7.53,293,1023.3,10.2,11,999,99
1999,1,1,19,338,4.8  5.7,2.09,12.5,6.77,285,1023.4,10.5,11,999,99
1999,1,1,20,340,4.2  4.8,2.06,12.5,6.76,283,1022.6,10.5,11.3,999,99
1999,1,1,21,332,4.4  5.1,2.22,12.5,6.94,284,1021.4,10.5,11.3,999,99
1999,1,1,22,336,4.8  5.5,2.28,8.33,7.15,305,1020.8,10.6,11.3,999,99
1999,1,1,23,314,5.2  6.1,2.11,9.09,7.22,307,1020.5,10.7,11.3,999,99
1999,1,2,0,315,5.0  6.0,2.26,8.33,7.44,306,1020.9,10.9,11.3,999,99
1999,1,2,1,317,5.5  6.6,2.06,9.09,7.32,305,1021.1,10.7,11.3,999,99
1999,1,2,2,337,5.1  6.4,2.19,9.09,7.12,304,1020.9,10.6,11.3,999,99
1999,1,2,3,329,5.1  6.1,1.86,12.5,6.69,294,1021,10.6,11.3,999,99
1999,1,2,4,324,6.8  8.1,1.97,11.11,6.69,299,1021.2,10.6,11.3,999,99
1999,1,2,5,337,6.2  7.6,2.06,12.5,6.99,283,1021.3,11,11.3,999,99
1999,1,2,6,352,3.5  4.4,1.83,12.5,6.59,284,1021.6,11,11.3,999,99
1999,1,2,7,336,5.5  6.8,1.98,8.33,7.08,302,1021.5,11,11.1,999,99
