YY,MM,DD,hh,mm,WD,WSPD GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2006,1,1,0,0,303,3.7  4.8,4.27,13.79,8.16,294,1010.5,13.8,13.2,999,99,99
2006,1,1,1,0,247,2.6  4.0,5.03,12.9,9.06,287,1011.3,13.5,13.2,999,99,99
2006,1,1,2,0,210,2.0  2.9,4.87,12.12,9.14,286,1011.6,13.2,13.2,999,99,99
2006,1,1,3,0,202,2.1  3.2,4.45,12.9,8.89,288,1012.2,13.3,13.2,999,99,99
2006,1,1,4,0,148,2.3  3.8,4.64,13.79,9.23,282,1012.7,13.2,13.2,999,99,99
2006,1,1,5,0,144,3.5  5.6,4.52,13.79,9.21,280,1013.2,13.3,13.2,999,99,99
2006,1,1,6,0,161,4.7  6.2,4.36,13.79,9.2,277,1013.5,13.3,13.2,999,99,99
2006,1,1,7,0,153,6.1  8.2,4.14,12.9,8.98,275,1013.5,13.2,13.2,999,99,99
2006,1,1,8,0,153,6.0  7.6,3.8,12.9,8.81,284,1013,13.2,13.3,999,99,99
2006,1,1,9,0,152,6.6  8.6,4.09,13.79,9.3,263,1012.2,13,13.3,999,99,99
2006,1,1,10,0,153,6.3  8.9,3.76,12.9,8.94,263,1012.3,13.1,13.2,999,99,99
2006,1,1,11,0,157,7.4  9.7,3.79,12.9,8.73,269,1011.7,13.3,13.2,999,99,99
2006,1,1,12,0,154,9.2 10.9,3.42,12.9,8.28,266,1009.9,13.4,13.2,999,99,99
2006,1,1,13,0,153,8.9 11.0,3.74,12.9,8.51,272,1009,13.5,13.2,999,99,99
2006,1,1,14,0,159,11.5 99.0,99,99,99,999,1008.6,13.5,999,999,99,99
2006,1,1,15,0,155,14.7 99.0,3.79,12.9,7.86,276,9999,13.4,999,999,99,99
2006,1,1,16,0,156,14.0 17.5,3.61,11.43,7.3,279,1007.2,13.5,13.1,999,99,99
2006,1,1,17,0,160,14.8 18.8,99,99,99,999,1007.2,13.1,13,999,99,99
2006,1,1,18,0,150,18.1 21.8,4.09,12.9,7.14,269,1005,13.3,13,999,99,99
2006,1,1,19,0,156,15.9 19.9,4.14,12.9,7.1,263,1006,13.5,13,999,99,99
