"season","pupID","animalID","Wt","weighingdate","weandate"
NA,4015,3982,111,NA,1977-02-15
1977,18897,NA,141,1977-03-03,1977-02-21
1977,18990,NA,120,1977-03-04,1977-02-14
1977,10806,18640,121.563,1977-02-15,1977-02-15
1977,18966,NA,179,1977-03-03,1977-02-21
1977,18982,1843,107,1977-03-01,1977-02-27
1978,4428,NA,145.15,1978-02-06,1978-02-04
1978,4429,NA,151.953,1978-02-07,1978-02-04
1978,4430,NA,133.81,1978-02-07,1978-02-06
1978,4431,NA,151.046,1978-02-07,1978-02-05
1978,4434,NA,147.418,1978-02-07,1978-02-07
1978,11109,NA,131.542,1978-02-01,1978-01-30
1978,4435,NA,133.81,1978-02-09,1978-02-04
1978,4436,NA,151.953,1978-02-09,1978-02-08
1978,4437,NA,147.418,1978-02-09,1978-02-08
1978,9622,NA,108.862,1978-02-01,1978-01-30
1978,4438,NA,135.171,1978-02-09,1978-02-06
1978,4439,NA,108.862,1978-02-11,1978-02-11
1978,4440,NA,147.418,1978-02-11,1978-02-08
1978,4441,NA,98.8831,1978-02-11,1978-02-09
1978,4442,NA,113.398,1978-02-11,1978-02-11
1978,4443,NA,109.769,1978-02-11,1978-02-10
1978,4447,NA,133.81,1978-02-14,1978-02-12
1978,4448,NA,161.025,1978-02-14,1978-02-12
1978,19503,NA,113.398,1978-02-22,1978-02-19
1978,4459,NA,86.1826,1978-02-14,1978-02-12
1978,4461,NA,122.47,1978-02-14,1978-02-11
1978,4462,1480,124.738,1978-02-14,1978-02-04
1978,4472,NA,90.7185,1978-02-16,1978-02-16
1978,4473,NA,127.006,1978-02-16,1978-02-11
1978,4474,NA,145.15,1978-02-16,1978-02-14
1978,4475,NA,45.3592,1978-02-16,1978-02-12
1978,4476,NA,107.501,1978-02-16,1978-02-11
1978,4477,NA,149.685,1978-02-16,1978-02-15
1978,4478,4153,142.882,1978-02-16,1978-02-14
1978,4479,NA,90.7185,1978-02-17,1978-02-12
1978,4480,NA,123.377,1978-02-17,1978-02-09
1978,4481,NA,129.274,1978-02-17,1978-02-14
1978,4482,NA,96.1616,1978-02-17,1978-02-09
1978,4483,7079,117.934,1978-02-17,1978-02-16
1978,4649,NA,115.666,1978-02-17,1978-02-10
1978,4650,NA,127.006,1978-02-17,1978-02-17
1978,4651,NA,131.542,1978-02-17,1978-02-17
1978,4652,NA,151.953,1978-02-19,1978-02-17
1978,4653,NA,117.934,1978-02-19,1978-02-18
1978,4654,NA,106.594,1978-02-19,1978-02-19
1978,4655,NA,127.006,1978-02-19,1978-02-17
1978,4656,NA,124.284,1978-02-19,1978-02-15
1978,4657,NA,127.006,1978-02-19,1978-02-17
1978,4658,NA,115.212,1978-02-19,1978-02-19
1978,4659,NA,97.5224,1978-02-19,1978-02-19
1978,4660,NA,120.202,1978-02-19,1978-02-16
1978,4661,NA,122.47,1978-02-19,1978-02-19
1978,4662,NA,155.129,1978-02-19,1978-02-17
1978,4663,NA,142.882,1978-02-19,1978-02-16
1978,4664,NA,99.7903,1978-02-19,1978-02-19
1978,4665,NA,65.7709,1978-02-20,1978-02-20
1978,4666,NA,141.521,1978-02-20,1978-02-20
1978,4667,NA,53.0703,1978-02-21,1978-02-19
1978,4668,NA,131.542,1978-03-01,1978-02-25
1978,4669,NA,147.871,1978-02-22,1978-02-20
1978,4670,NA,104.326,1978-02-22,1978-02-21
1978,4671,NA,122.47,1978-02-22,1978-02-20
1978,4672,NA,145.15,1978-02-22,1978-02-20
1978,4674,NA,138.346,1978-02-22,1978-02-14
1978,4675,NA,120.202,1978-02-23,1978-02-21
1978,4676,NA,136.078,1978-02-23,1978-02-21
1978,4677,NA,87.0897,1978-02-23,1978-02-23
1978,4678,NA,172.365,1978-02-23,1978-02-23
1978,4679,NA,135.624,1978-02-23,1978-02-23
1978,4680,NA,136.078,1978-02-24,1978-02-22
1978,34852,NA,114.759,1978-02-25,1978-02-25
1978,4681,NA,113.398,1978-02-25,1978-02-21
1978,4682,NA,99.7903,1978-02-25,1978-02-24
1978,4683,NA,113.398,1978-02-27,1978-02-26
1978,4684,NA,138.346,1978-03-02,1978-03-02
1978,4685,NA,151.953,1978-03-10,1978-03-05
1978,4686,NA,131.542,1978-03-10,1978-02-18
1978,4688,NA,108.862,1978-03-17,1978-03-16
1980,3479,26407,142.428,1980-02-12,1980-02-12
1980,5119,2261,202.756,1980-02-17,1980-02-13
1980,5120,26224,113.398,1980-02-21,1980-02-11
1980,5121,32356,174.633,1980-02-17,1980-02-14
1980,5122,19312,104.326,1980-02-17,1980-02-16
1980,5123,19190,113.398,1980-02-17,1980-02-16
1980,5124,3245,157.397,1980-02-17,1980-02-13
1980,19530,3131,178,1980-02-17,1980-02-13
1980,44904,NA,164.2,1980-02-18,1980-02-18
1980,44903,30786,116.573,1980-02-18,1980-02-18
1980,5125,1117,151.953,1980-02-20,1980-02-16
1980,5127,33199,124.738,1980-02-24,1980-02-19
1980,44756,18727,167.829,1980-02-29,1980-02-21
1980,5129,19283,118.841,1980-02-27,1980-02-25
1980,5130,3957,138.346,1980-02-23,1980-02-23
1980,5136,29480,138.346,1980-02-25,1980-02-25
1980,5142,3913,122.47,1980-02-24,1980-02-24
1980,5143,5927,136.078,1980-02-24,1980-02-23
1980,5149,29583,113.398,1980-02-29,1980-02-26
1980,5150,4449,165.561,1980-02-27,1980-02-21
1980,5265,3724,102.058,1980-02-08,1980-01-20
1980,19519,19185,145.15,1980-02-27,1980-02-25
1980,5415,19192,116.573,1980-02-27,1980-02-27
1980,5416,NA,147,1980-02-29,1980-02-27
1980,5419,3527,159.665,1980-02-29,1980-02-27
1980,5460,4153,176.901,1980-02-12,1980-02-05
1980,5461,3433,204.117,1980-02-08,1980-02-05
1980,5463,2677,165.561,1980-02-08,1980-02-06
1980,5477,30239,3,1980-02-10,NA
1980,5480,1480,179.169,1980-02-12,1980-02-11
1981,5806,11109,60.3278,1981-02-20,1981-02-18
1981,5819,11109,73.9356,1981-02-20,1981-02-18
1981,5820,19185,125.645,1981-02-20,1981-02-18
1982,5929,30278,102.058,1982-01-29,1982-01-28
1982,5973,5926,115.666,1982-02-18,1982-02-17
1982,5978,5977,143.789,1982-02-19,1982-02-19
1982,5982,4488,122.47,1982-02-21,1982-02-21
1983,6261,9524,99.7903,1983-03-16,1983-02-09
1984,7192,7081,129.248,1984-02-14,1984-02-10
1984,7368,4868,129,1984-02-14,1984-02-07
1984,7785,4605,109,1984-02-11,1984-01-18
1984,7786,28138,99,1984-02-28,1984-02-05
1984,7788,4482,132,1984-02-10,1984-01-23
1984,7792,4353,113,1984-02-12,1984-01-18
1984,7794,19316,142,1984-02-06,1984-01-30
1984,7795,5465,108,1984-02-10,1984-01-30
1984,7796,5310,117,1984-02-12,1984-01-30
1984,7803,27512,110,1984-02-17,1984-01-30
1984,7818,5208,101,1984-02-12,1984-01-29
1984,7819,2098,148,1984-02-12,1984-01-30
1984,7820,19060,140,1984-02-06,1984-02-03
1984,7821,NA,127,1984-02-08,1984-02-01
1984,7822,19540,103,1984-02-23,1984-02-04
1984,7822,19540,107.922,1984-02-11,1984-02-04
1984,7824,19513,106,1984-02-10,1984-02-06
1984,7825,5263,120,1984-02-23,1984-02-07
1984,7826,5910,84.0862,1984-02-17,1984-02-11
1984,7826,5910,94,1984-02-11,1984-02-11
1984,7827,18887,130,1984-02-29,1984-02-04
1984,7828,56943,133,1984-02-28,1984-02-08
1984,7829,5406,116,1984-02-23,1984-02-14
1984,7830,19282,138,1984-02-10,1984-02-08
1984,7831,9524,127,1984-02-12,1984-02-07
1984,7832,30711,128,1984-02-17,1984-02-08
1984,7833,4476,113,1984-02-17,1984-02-14
1984,7835,5592,88,1984-02-10,1984-02-08
1984,7837,19381,150,1984-02-11,1984-02-04
1984,7838,19320,137,1984-02-11,1984-02-11
1984,7840,3971,144,1984-02-14,1984-02-13
1984,7841,5754,102,1984-02-14,1984-02-09
1984,7842,5389,124,1984-02-22,1984-02-07
1984,7844,NA,139,1984-02-29,1984-02-13
1984,7845,NA,115,1984-02-28,1984-02-14
1984,7846,4829,130,1984-02-23,1984-02-11
1984,7848,21021,168,1984-02-18,1984-02-16
1984,7851,4897,132,1984-02-18,1984-02-16
1984,7857,28357,129,1984-02-22,1984-02-22
1984,7858,1480,146,1984-02-22,1984-02-15
1984,7859,29583,139,1984-02-17,1984-02-13
1984,7861,1952,159,1984-02-17,1984-02-15
